# CGB dial sweep, per seed (EUR000 real pot at retirement) | commit 00f511d | N=1000 | seeds=[42, 137, 271] | post V-M3 bond-volatility recalibration
calibration,world,seed,cgb_weight,median,delta_vs_zero,p5,p25,p75,p95,lhp_vol,lhp_real_return
reverting_1.8_to_2.3,baseline,42,0.0,1371.385,0.0,962.164,1179.431,1620.575,2030.602,0.092795,0.024305
reverting_1.8_to_2.3,baseline,42,0.01,1370.529,-0.856,962.669,1178.367,1619.381,2027.985,0.091756,0.024254
reverting_1.8_to_2.3,baseline,42,0.02,1369.674,-1.711,962.038,1176.967,1618.409,2025.366,0.09068,0.024209
reverting_1.8_to_2.3,baseline,42,0.03,1368.491,-2.894,961.406,1175.729,1617.768,2022.746,0.089631,0.02415
reverting_1.8_to_2.3,baseline,42,0.05,1367.674,-3.711,960.488,1174.917,1615.408,2017.502,0.087523,0.024024
reverting_1.8_to_2.3,repression,42,0.0,1100.275,0.0,772.417,944.031,1296.404,1632.079,0.119067,0.017548
reverting_1.8_to_2.3,repression,42,0.01,1100.305,0.03,772.704,944.059,1296.798,1632.997,0.117774,0.017572
reverting_1.8_to_2.3,repression,42,0.02,1100.143,-0.132,772.988,944.238,1297.188,1633.524,0.116404,0.017619
reverting_1.8_to_2.3,repression,42,0.03,1100.263,-0.012,773.388,944.742,1297.317,1634.297,0.115049,0.017651
reverting_1.8_to_2.3,repression,42,0.05,1100.442,0.167,775.128,946.678,1297.908,1634.752,0.112154,0.017773
reverting_1.8_to_2.3,baseline,137,0.0,1376.718,0.0,937.575,1178.401,1629.48,2013.151,0.092209,0.024258
reverting_1.8_to_2.3,baseline,137,0.01,1375.912,-0.805,937.416,1177.365,1629.379,2011.062,0.091213,0.02423
reverting_1.8_to_2.3,baseline,137,0.02,1374.977,-1.74,937.536,1177.156,1630.999,2008.211,0.090202,0.024213
reverting_1.8_to_2.3,baseline,137,0.03,1374.785,-1.932,937.982,1176.794,1629.573,2004.499,0.089218,0.024173
reverting_1.8_to_2.3,baseline,137,0.05,1374.994,-1.724,937.863,1175.347,1627.501,2002.574,0.087094,0.024066
reverting_1.8_to_2.3,repression,137,0.0,1103.642,0.0,768.76,949.965,1295.989,1607.438,0.118784,0.017315
reverting_1.8_to_2.3,repression,137,0.01,1104.438,0.795,769.716,950.685,1296.537,1605.941,0.117393,0.017361
reverting_1.8_to_2.3,repression,137,0.02,1105.534,1.892,770.661,951.019,1297.506,1604.795,0.11603,0.017391
reverting_1.8_to_2.3,repression,137,0.03,1106.341,2.699,771.344,951.626,1299.802,1605.579,0.114677,0.01747
reverting_1.8_to_2.3,repression,137,0.05,1107.592,3.95,772.707,952.503,1299.857,1603.237,0.111972,0.01761
reverting_1.8_to_2.3,baseline,271,0.0,1393.256,0.0,948.992,1190.873,1611.001,2031.594,0.091663,0.024013
reverting_1.8_to_2.3,baseline,271,0.01,1392.407,-0.849,948.554,1190.079,1609.146,2028.605,0.090747,0.024012
reverting_1.8_to_2.3,baseline,271,0.02,1391.604,-1.652,949.957,1190.7,1607.762,2025.616,0.089708,0.023995
reverting_1.8_to_2.3,baseline,271,0.03,1390.994,-2.262,951.36,1191.909,1605.657,2022.629,0.088681,0.023944
reverting_1.8_to_2.3,baseline,271,0.05,1389.832,-3.424,954.177,1191.427,1603.205,2023.763,0.086567,0.023829
reverting_1.8_to_2.3,repression,271,0.0,1113.559,0.0,768.051,962.537,1291.998,1617.515,0.117919,0.0173
reverting_1.8_to_2.3,repression,271,0.01,1113.892,0.333,768.682,963.42,1292.118,1617.772,0.116546,0.01734
reverting_1.8_to_2.3,repression,271,0.02,1113.836,0.278,769.311,964.353,1294.195,1617.992,0.115205,0.017428
reverting_1.8_to_2.3,repression,271,0.03,1114.246,0.687,769.939,965.06,1294.163,1618.177,0.113819,0.017472
reverting_1.8_to_2.3,repression,271,0.05,1115.021,1.462,772.224,966.262,1293.851,1615.237,0.111058,0.017556
