# Pot distribution percentiles per step/world/seed (EUR000) | commit 00f511d | N=1000
step,world,seed,p5,p25,p50,p75,p95,sd
(i)   Current,baseline,42,851.701,1051.325,1240.131,1464.804,1846.055,307.825
(ii)  +Re-anchor,baseline,42,922.73,1143.235,1337.345,1582.294,1983.814,331.33
(iii) +China cap,baseline,42,923.115,1144.569,1345.819,1584.672,1989.621,333.126
(iv)  +Bond side,baseline,42,962.164,1179.431,1371.385,1620.575,2030.602,332.885
(i)   Current,repression,42,672.684,831.886,974.894,1144.447,1447.924,235.497
(ii)  +Re-anchor,repression,42,731.536,903.496,1054.982,1235.743,1576.253,254.021
(iii) +China cap,repression,42,728.833,906.116,1057.537,1243.416,1576.079,255.157
(iv)  +Bond side,repression,42,772.417,944.031,1100.275,1296.404,1632.079,260.788
(i)   Current,baseline,137,843.27,1067.52,1238.686,1470.063,1819.867,319.452
(ii)  +Re-anchor,baseline,137,907.945,1152.109,1339.282,1592.695,1983.001,343.298
(iii) +China cap,baseline,137,909.925,1153.459,1344.185,1591.6,1984.917,344.098
(iv)  +Bond side,baseline,137,937.575,1178.401,1376.718,1629.48,2013.151,341.993
(i)   Current,repression,137,673.0,843.887,970.901,1151.598,1432.434,242.305
(ii)  +Re-anchor,repression,137,729.381,903.231,1050.023,1243.05,1551.294,260.371
(iii) +China cap,repression,137,729.712,903.927,1053.809,1243.201,1548.76,261.048
(iv)  +Bond side,repression,137,768.76,949.965,1103.642,1295.989,1607.438,265.714
(i)   Current,baseline,271,851.842,1063.625,1257.188,1460.903,1861.783,313.887
(ii)  +Re-anchor,baseline,271,910.936,1150.371,1362.329,1579.029,2009.398,338.098
(iii) +China cap,baseline,271,914.919,1156.776,1361.798,1582.163,1995.822,337.881
(iv)  +Bond side,baseline,271,948.992,1190.873,1393.256,1611.001,2031.594,334.13
(i)   Current,repression,271,676.166,844.868,984.914,1142.594,1440.405,236.185
(ii)  +Re-anchor,repression,271,734.587,919.482,1069.612,1241.482,1567.356,254.821
(iii) +China cap,repression,271,739.187,917.588,1073.225,1241.389,1572.044,254.454
(iv)  +Bond side,repression,271,768.051,962.537,1113.559,1291.998,1617.515,257.94
(i)   Current,baseline,314,851.189,1069.484,1252.291,1451.707,1824.206,308.019
(ii)  +Re-anchor,baseline,314,930.46,1165.257,1355.58,1571.171,1988.923,333.726
(iii) +China cap,baseline,314,932.734,1158.567,1358.819,1575.956,1974.664,333.15
(iv)  +Bond side,baseline,314,962.197,1192.051,1393.12,1614.812,1992.695,332.797
(i)   Current,repression,314,688.773,843.948,980.616,1140.105,1412.485,229.03
(ii)  +Re-anchor,repression,314,748.924,913.767,1061.068,1237.973,1527.093,248.689
(iii) +China cap,repression,314,751.21,916.423,1063.919,1236.466,1528.546,248.2
(iv)  +Bond side,repression,314,785.81,956.283,1110.163,1291.915,1563.426,254.527
(i)   Current,baseline,577,867.675,1082.655,1270.905,1473.056,1912.186,318.313
(ii)  +Re-anchor,baseline,577,926.804,1165.323,1373.761,1592.657,2051.496,343.903
(iii) +China cap,baseline,577,926.024,1163.706,1370.118,1596.916,2037.348,344.544
(iv)  +Bond side,baseline,577,960.577,1194.303,1405.63,1634.168,2100.119,341.925
(i)   Current,repression,577,690.14,853.88,997.19,1156.99,1474.045,241.826
(ii)  +Re-anchor,repression,577,744.397,918.089,1081.19,1254.068,1601.338,261.401
(iii) +China cap,repression,577,743.013,921.897,1083.151,1251.084,1615.143,261.721
(iv)  +Bond side,repression,577,778.012,961.338,1130.219,1306.573,1662.039,266.312
