# Pot distribution percentiles per step/world/seed (EUR000) | commit 9b9196c | N=1000
step,world,seed,p5,p25,p50,p75,p95,sd
(i)   Current,baseline,42,852.001,1056.647,1237.947,1461.803,1874.968,302.268
(ii)  +Re-anchor,baseline,42,927.323,1147.415,1340.433,1578.608,1995.997,326.191
(iii) +China cap,baseline,42,926.36,1148.953,1341.498,1579.691,1996.741,327.446
(iv)  +Bond side,baseline,42,961.815,1179.111,1374.603,1614.369,2026.176,326.965
(i)   Current,repression,42,617.939,767.693,885.773,1044.875,1329.086,209.968
(ii)  +Re-anchor,repression,42,676.001,830.226,964.199,1132.816,1430.878,227.109
(iii) +China cap,repression,42,674.474,827.775,963.242,1132.427,1432.691,227.801
(iv)  +Bond side,repression,42,718.814,876.373,1014.476,1191.11,1496.423,235.167
(i)   Current,baseline,137,849.05,1061.916,1233.374,1454.269,1821.417,315.131
(ii)  +Re-anchor,baseline,137,913.361,1148.386,1331.686,1584.027,1978.497,340.338
(iii) +China cap,baseline,137,911.008,1150.319,1336.33,1584.253,1982.216,341.326
(iv)  +Bond side,baseline,137,940.126,1186.359,1370.303,1624.975,2013.288,339.963
(i)   Current,repression,137,622.353,773.589,886.851,1039.707,1306.466,213.213
(ii)  +Re-anchor,repression,137,665.384,835.009,958.119,1127.817,1394.317,230.331
(iii) +China cap,repression,137,669.469,836.531,960.505,1128.771,1393.488,231.06
(iv)  +Bond side,repression,137,718.332,881.566,1014.31,1182.758,1460.514,238.475
(i)   Current,baseline,271,846.769,1060.202,1242.352,1463.453,1842.228,314.119
(ii)  +Re-anchor,baseline,271,913.896,1154.081,1355.962,1575.807,2011.755,338.044
(iii) +China cap,baseline,271,913.237,1153.443,1355.389,1597.364,2028.001,337.621
(iv)  +Bond side,baseline,271,949.615,1190.851,1388.906,1614.743,2053.322,333.825
(i)   Current,repression,271,627.296,775.148,907.53,1042.279,1330.806,213.197
(ii)  +Re-anchor,repression,271,674.751,839.127,979.608,1123.454,1429.788,229.661
(iii) +China cap,repression,271,677.267,838.926,979.426,1126.528,1424.343,229.17
(iv)  +Bond side,repression,271,723.06,889.237,1030.002,1181.07,1488.435,234.661
(i)   Current,baseline,314,849.905,1067.077,1248.212,1457.77,1826.994,307.448
(ii)  +Re-anchor,baseline,314,924.598,1155.39,1344.579,1575.878,1986.711,334.223
(iii) +China cap,baseline,314,925.717,1157.257,1349.526,1575.945,1992.503,333.808
(iv)  +Bond side,baseline,314,958.651,1190.161,1381.003,1618.292,2020.057,332.29
(i)   Current,repression,314,631.969,774.276,893.112,1045.035,1279.729,206.451
(ii)  +Re-anchor,repression,314,686.805,837.544,966.149,1133.515,1394.581,224.543
(iii) +China cap,repression,314,684.789,837.74,965.683,1130.033,1390.997,224.225
(iv)  +Bond side,repression,314,724.801,881.572,1019.223,1191.628,1451.57,231.605
(i)   Current,baseline,577,856.288,1079.536,1268.635,1474.972,1886.739,312.607
(ii)  +Re-anchor,baseline,577,925.594,1165.56,1368.781,1598.08,2034.303,339.097
(iii) +China cap,baseline,577,919.792,1166.925,1373.253,1595.315,2046.486,339.976
(iv)  +Bond side,baseline,577,957.625,1205.593,1405.779,1637.589,2091.491,337.147
(i)   Current,repression,577,630.647,783.53,904.072,1062.695,1339.826,212.864
(ii)  +Re-anchor,repression,577,676.728,846.471,978.576,1141.368,1452.236,231.383
(iii) +China cap,repression,577,680.01,847.036,979.521,1143.792,1451.809,231.872
(iv)  +Bond side,repression,577,720.951,895.869,1030.712,1202.141,1535.937,238.384
