# CGB dial sweep, per seed, both calibrations (pot figures EUR000 real at retirement) | commit 0adf3bb | 2026-08-21 | N=1000 | seeds=[42, 137, 271] | regenerated for docs/VALIDATION_REPORT.md
# lhp_vol / lhp_real_return: LHP sub-portfolio annualised stats over accumulation, decimals.
calibration,world,seed,cgb_weight,median,delta_vs_zero,p5,p25,p75,p95,lhp_vol,lhp_real_return
reverting_1.8_to_2.3,baseline,42,0.0,1466.641,0.0,1041.535,1255.317,1696.243,2140.371,0.135387,0.028196
reverting_1.8_to_2.3,baseline,42,0.01,1465.758,-0.883,1041.894,1255.68,1694.82,2135.452,0.133867,0.028166
reverting_1.8_to_2.3,baseline,42,0.02,1463.722,-2.919,1042.03,1255.734,1693.154,2129.69,0.132331,0.028157
reverting_1.8_to_2.3,baseline,42,0.03,1461.488,-5.153,1040.947,1255.358,1688.643,2123.876,0.130855,0.02809
reverting_1.8_to_2.3,baseline,42,0.05,1458.901,-7.74,1039.181,1254.74,1684.1,2112.266,0.127668,0.027927
reverting_1.8_to_2.3,repression,42,0.0,1168.163,0.0,847.498,1004.523,1347.058,1672.787,0.14769,0.02089
reverting_1.8_to_2.3,repression,42,0.01,1167.803,-0.36,849.098,1005.068,1345.976,1668.45,0.145923,0.020878
reverting_1.8_to_2.3,repression,42,0.02,1168.318,0.155,849.486,1004.799,1345.557,1665.911,0.144284,0.020889
reverting_1.8_to_2.3,repression,42,0.03,1167.916,-0.247,849.934,1004.526,1344.798,1664.836,0.142575,0.020882
reverting_1.8_to_2.3,repression,42,0.05,1169.44,1.278,850.844,1005.333,1343.493,1662.915,0.13934,0.020895
reverting_1.8_to_2.3,baseline,137,0.0,1457.07,0.0,1021.909,1247.995,1691.993,2090.456,0.135047,0.027943
reverting_1.8_to_2.3,baseline,137,0.01,1456.682,-0.388,1022.475,1247.477,1688.536,2088.564,0.133552,0.027907
reverting_1.8_to_2.3,baseline,137,0.02,1455.938,-1.132,1023.036,1246.618,1687.16,2082.982,0.131966,0.027846
reverting_1.8_to_2.3,baseline,137,0.03,1455.413,-1.657,1023.59,1246.895,1685.649,2078.915,0.130458,0.027818
reverting_1.8_to_2.3,baseline,137,0.05,1454.379,-2.691,1024.681,1246.425,1682.741,2073.021,0.127375,0.027713
reverting_1.8_to_2.3,repression,137,0.0,1157.48,0.0,832.555,1003.701,1342.642,1627.218,0.147633,0.020676
reverting_1.8_to_2.3,repression,137,0.01,1158.305,0.825,833.504,1004.577,1340.993,1625.842,0.145847,0.020709
reverting_1.8_to_2.3,repression,137,0.02,1158.342,0.862,834.616,1005.305,1340.669,1626.705,0.144138,0.020762
reverting_1.8_to_2.3,repression,137,0.03,1157.613,0.133,836.467,1005.401,1339.56,1627.564,0.14241,0.020795
reverting_1.8_to_2.3,repression,137,0.05,1157.6,0.121,839.41,1007.248,1337.591,1626.977,0.139074,0.020799
