# CGB dial sweep, per seed (EUR000 real pot at retirement) | commit 193776f | N=1000 | seeds=[42, 137, 271] | post V-M3 bond-volatility recalibration
calibration,world,seed,cgb_weight,median,delta_vs_zero,p5,p25,p75,p95,lhp_vol,lhp_real_return
reverting_1.8_to_2.3,baseline,42,0.0,1374.603,0.0,961.815,1179.111,1614.369,2026.176,0.092148,0.024449
reverting_1.8_to_2.3,baseline,42,0.01,1374.767,0.164,962.246,1178.392,1612.882,2024.741,0.091069,0.024401
reverting_1.8_to_2.3,baseline,42,0.02,1374.582,-0.021,962.674,1177.34,1612.188,2023.304,0.090011,0.024364
reverting_1.8_to_2.3,baseline,42,0.03,1372.349,-2.255,962.444,1177.585,1610.569,2021.865,0.089011,0.024338
reverting_1.8_to_2.3,baseline,42,0.05,1373.098,-1.505,961.679,1177.228,1608.613,2018.982,0.086944,0.024294
reverting_1.8_to_2.3,repression,42,0.0,1014.476,0.0,718.814,876.373,1191.11,1496.423,0.089546,0.014344
reverting_1.8_to_2.3,repression,42,0.01,1014.657,0.181,719.921,877.035,1192.581,1497.025,0.088459,0.014389
reverting_1.8_to_2.3,repression,42,0.02,1014.939,0.462,720.768,878.75,1193.934,1497.735,0.087418,0.014437
reverting_1.8_to_2.3,repression,42,0.03,1015.697,1.221,721.615,879.919,1194.157,1498.42,0.086369,0.014498
reverting_1.8_to_2.3,repression,42,0.05,1017.209,2.733,723.31,880.887,1197.135,1498.655,0.084367,0.014599
reverting_1.8_to_2.3,baseline,137,0.0,1370.303,0.0,940.126,1186.359,1624.975,2013.288,0.091657,0.024337
reverting_1.8_to_2.3,baseline,137,0.01,1369.567,-0.736,940.414,1186.534,1623.139,2007.638,0.090653,0.024299
reverting_1.8_to_2.3,baseline,137,0.02,1367.576,-2.727,940.949,1186.622,1621.146,2006.16,0.089653,0.024282
reverting_1.8_to_2.3,baseline,137,0.03,1366.074,-4.228,941.707,1186.24,1619.151,2006.158,0.088474,0.024245
reverting_1.8_to_2.3,baseline,137,0.05,1365.714,-4.588,939.412,1185.586,1617.359,2004.109,0.086439,0.024135
reverting_1.8_to_2.3,repression,137,0.0,1014.31,0.0,718.332,881.566,1182.758,1460.514,0.089443,0.013973
reverting_1.8_to_2.3,repression,137,0.01,1015.438,1.129,719.822,883.144,1184.078,1459.138,0.088479,0.01397
reverting_1.8_to_2.3,repression,137,0.02,1016.811,2.502,721.312,884.173,1185.516,1458.27,0.087364,0.013976
reverting_1.8_to_2.3,repression,137,0.03,1017.898,3.589,722.803,884.635,1187.153,1461.736,0.086391,0.014024
reverting_1.8_to_2.3,repression,137,0.05,1020.236,5.927,725.787,887.245,1190.637,1468.401,0.084415,0.014126
reverting_1.8_to_2.3,baseline,271,0.0,1388.906,0.0,949.615,1190.851,1614.743,2053.322,0.091162,0.024047
reverting_1.8_to_2.3,baseline,271,0.01,1388.078,-0.828,950.777,1190.067,1613.207,2050.077,0.09021,0.024016
reverting_1.8_to_2.3,baseline,271,0.02,1388.543,-0.363,951.937,1189.443,1609.837,2046.059,0.089203,0.024022
reverting_1.8_to_2.3,baseline,271,0.03,1387.299,-1.607,950.95,1188.116,1608.449,2043.817,0.088128,0.023982
reverting_1.8_to_2.3,baseline,271,0.05,1385.95,-2.956,948.703,1187.996,1606.86,2039.554,0.086135,0.023865
reverting_1.8_to_2.3,repression,271,0.0,1030.002,0.0,723.06,889.237,1181.07,1488.435,0.089551,0.013906
reverting_1.8_to_2.3,repression,271,0.01,1031.121,1.119,724.801,890.88,1182.185,1486.761,0.088572,0.013974
reverting_1.8_to_2.3,repression,271,0.02,1032.506,2.504,725.742,892.55,1183.218,1487.6,0.087596,0.014044
reverting_1.8_to_2.3,repression,271,0.03,1033.377,3.376,726.312,893.404,1184.254,1488.711,0.086628,0.014089
reverting_1.8_to_2.3,repression,271,0.05,1036.112,6.111,727.462,894.697,1186.869,1490.834,0.084657,0.014178
