# CGB dial sweep, per seed (EUR000 real pot at retirement) | commit ee985aa | N=1000 | seeds=[42, 137, 271] | post V-M3 bond-volatility recalibration
calibration,world,seed,cgb_weight,median,delta_vs_zero,p5,p25,p75,p95,lhp_vol,lhp_real_return
reverting_1.8_to_2.3,baseline,42,0.0,1371.502,0.0,966.279,1180.236,1620.014,2027.338,0.092811,0.024306
reverting_1.8_to_2.3,baseline,42,0.01,1369.701,-1.801,968.537,1179.687,1618.841,2024.868,0.091781,0.024294
reverting_1.8_to_2.3,baseline,42,0.02,1369.384,-2.117,968.532,1179.136,1617.779,2022.363,0.090711,0.024242
reverting_1.8_to_2.3,baseline,42,0.03,1368.641,-2.861,967.993,1178.582,1616.959,2018.838,0.08966,0.024193
reverting_1.8_to_2.3,baseline,42,0.05,1364.52,-6.982,967.973,1177.465,1615.652,2011.711,0.087588,0.024047
reverting_1.8_to_2.3,repression,42,0.0,1101.596,0.0,772.685,947.858,1299.389,1632.409,0.11901,0.01762
reverting_1.8_to_2.3,repression,42,0.01,1101.167,-0.429,773.542,948.219,1300.625,1632.219,0.117718,0.017685
reverting_1.8_to_2.3,repression,42,0.02,1101.797,0.201,773.814,948.921,1300.553,1631.933,0.116424,0.017732
reverting_1.8_to_2.3,repression,42,0.03,1102.236,0.64,774.859,949.416,1299.902,1630.734,0.114972,0.017774
reverting_1.8_to_2.3,repression,42,0.05,1101.651,0.055,778.529,949.961,1302.366,1629.172,0.112081,0.017836
reverting_1.8_to_2.3,baseline,137,0.0,1377.626,0.0,940.206,1179.483,1626.001,2009.882,0.092231,0.024296
reverting_1.8_to_2.3,baseline,137,0.01,1377.394,-0.233,940.554,1178.524,1626.033,2007.278,0.091249,0.024241
reverting_1.8_to_2.3,baseline,137,0.02,1376.828,-0.799,940.856,1178.285,1625.654,2005.253,0.090248,0.024201
reverting_1.8_to_2.3,baseline,137,0.03,1375.087,-2.539,940.817,1178.189,1624.823,2003.103,0.089174,0.024173
reverting_1.8_to_2.3,baseline,137,0.05,1374.701,-2.926,942.193,1177.614,1622.543,1997.308,0.087115,0.024067
reverting_1.8_to_2.3,repression,137,0.0,1105.776,0.0,770.573,951.29,1299.988,1605.033,0.118781,0.017436
reverting_1.8_to_2.3,repression,137,0.01,1106.182,0.406,771.541,952.506,1300.257,1604.026,0.117373,0.017465
reverting_1.8_to_2.3,repression,137,0.02,1106.245,0.469,772.521,953.598,1300.369,1603.014,0.116035,0.017523
reverting_1.8_to_2.3,repression,137,0.03,1106.897,1.121,773.502,954.09,1300.263,1601.998,0.114725,0.017607
reverting_1.8_to_2.3,repression,137,0.05,1107.869,2.092,775.466,954.258,1301.133,1599.715,0.112028,0.017695
reverting_1.8_to_2.3,baseline,271,0.0,1392.935,0.0,950.183,1190.575,1611.584,2030.852,0.091722,0.02403
reverting_1.8_to_2.3,baseline,271,0.01,1392.87,-0.065,949.289,1190.035,1609.754,2030.137,0.090729,0.023956
reverting_1.8_to_2.3,baseline,271,0.02,1393.052,0.118,950.382,1189.207,1607.212,2029.418,0.089731,0.023915
reverting_1.8_to_2.3,baseline,271,0.03,1392.683,-0.252,951.835,1188.715,1605.62,2028.696,0.088687,0.023855
reverting_1.8_to_2.3,baseline,271,0.05,1390.5,-2.435,954.924,1188.254,1601.478,2027.24,0.0866,0.02379
reverting_1.8_to_2.3,repression,271,0.0,1115.93,0.0,771.414,966.214,1293.466,1618.357,0.117912,0.017315
reverting_1.8_to_2.3,repression,271,0.01,1116.406,0.476,772.712,966.788,1293.605,1617.553,0.116533,0.017394
reverting_1.8_to_2.3,repression,271,0.02,1116.937,1.006,774.011,967.246,1293.758,1616.918,0.11514,0.017455
reverting_1.8_to_2.3,repression,271,0.03,1117.305,1.375,775.31,968.666,1293.996,1616.218,0.11381,0.017531
reverting_1.8_to_2.3,repression,271,0.05,1118.751,2.821,777.693,969.4,1294.133,1615.65,0.110999,0.017661
