# Pot distribution percentiles per step/world/seed (EUR000) | commit ee985aa | N=1000
step,world,seed,p5,p25,p50,p75,p95,sd
(i)   Current,baseline,42,851.594,1051.448,1239.996,1464.634,1846.065,307.715
(ii)  +Re-anchor,baseline,42,926.991,1143.962,1336.412,1582.736,1980.254,330.922
(iii) +China cap,baseline,42,925.704,1146.113,1344.562,1583.312,1996.136,332.602
(iv)  +Bond side,baseline,42,966.279,1180.236,1371.502,1620.014,2027.338,331.714
(i)   Current,repression,42,672.343,832.97,975.287,1144.36,1447.538,235.403
(ii)  +Re-anchor,repression,42,731.258,903.559,1055.846,1237.932,1575.854,253.799
(iii) +China cap,repression,42,730.87,907.544,1059.694,1244.879,1579.072,254.941
(iv)  +Bond side,repression,42,772.685,947.858,1101.596,1299.389,1632.409,260.238
(i)   Current,baseline,137,843.612,1068.332,1238.525,1469.728,1822.431,319.383
(ii)  +Re-anchor,baseline,137,907.564,1154.427,1338.32,1593.278,1981.745,343.084
(iii) +China cap,baseline,137,909.322,1152.58,1344.47,1590.125,1984.844,343.847
(iv)  +Bond side,baseline,137,940.206,1179.483,1377.626,1626.001,2009.882,341.157
(i)   Current,repression,137,672.801,844.249,970.784,1151.677,1434.009,242.246
(ii)  +Re-anchor,repression,137,731.505,904.952,1050.346,1244.333,1551.801,260.291
(iii) +China cap,repression,137,730.875,906.149,1055.784,1244.166,1549.777,261.023
(iv)  +Bond side,repression,137,770.573,951.29,1105.776,1299.988,1605.033,265.367
(i)   Current,baseline,271,852.563,1063.784,1256.778,1460.683,1863.536,313.735
(ii)  +Re-anchor,baseline,271,913.962,1148.901,1362.014,1580.508,2011.163,337.66
(iii) +China cap,baseline,271,912.319,1155.938,1364.006,1583.561,1996.116,337.359
(iv)  +Bond side,baseline,271,950.183,1190.575,1392.935,1611.584,2030.852,333.013
(i)   Current,repression,271,676.327,844.846,986.027,1143.325,1441.246,236.06
(ii)  +Re-anchor,repression,271,736.951,917.827,1071.148,1243.18,1567.064,254.552
(iii) +China cap,repression,271,739.23,918.427,1076.774,1241.886,1576.671,254.191
(iv)  +Bond side,repression,271,771.414,966.214,1115.93,1293.466,1618.357,257.338
(i)   Current,baseline,314,851.853,1070.647,1253.791,1451.452,1822.299,307.813
(ii)  +Re-anchor,baseline,314,931.437,1166.137,1356.374,1571.969,1981.282,333.028
(iii) +China cap,baseline,314,934.147,1161.173,1361.993,1575.803,1967.884,332.281
(iv)  +Bond side,baseline,314,964.65,1192.896,1395.258,1608.427,1991.212,331.164
(i)   Current,repression,314,689.162,844.297,980.843,1140.83,1411.854,228.874
(ii)  +Re-anchor,repression,314,750.296,915.954,1063.643,1238.578,1522.076,248.266
(iii) +China cap,repression,314,751.199,917.441,1065.59,1237.907,1525.787,247.738
(iv)  +Bond side,repression,314,786.525,960.716,1113.703,1292.05,1564.212,253.601
(i)   Current,baseline,577,867.449,1082.414,1270.661,1473.383,1911.657,318.148
(ii)  +Re-anchor,baseline,577,926.746,1164.967,1374.409,1590.695,2050.326,343.344
(iii) +China cap,baseline,577,926.511,1165.303,1372.72,1601.338,2044.854,343.866
(iv)  +Bond side,baseline,577,965.495,1198.008,1402.9,1634.783,2090.022,340.597
(i)   Current,repression,577,689.832,853.858,996.821,1156.719,1473.481,241.693
(ii)  +Re-anchor,repression,577,746.514,918.967,1081.378,1254.658,1598.613,261.047
(iii) +China cap,repression,577,743.014,921.894,1085.208,1250.595,1613.237,261.35
(iv)  +Bond side,repression,577,782.219,965.048,1131.806,1305.236,1654.203,265.567
