# CGB dial sweep, per seed (EUR000 real pot at retirement) | commit 9689128 | N=1000 | seeds=[42, 137, 271] | post V-M3 bond-volatility recalibration
calibration,world,seed,cgb_weight,median,delta_vs_zero,p5,p25,p75,p95,lhp_vol,lhp_real_return
reverting_1.8_to_2.3,baseline,42,0.0,1371.385,0.0,962.164,1179.431,1620.575,2030.602,0.092795,0.024305
reverting_1.8_to_2.3,baseline,42,0.01,1370.529,-0.856,962.669,1178.367,1619.381,2027.985,0.091756,0.024254
reverting_1.8_to_2.3,baseline,42,0.02,1369.674,-1.711,962.038,1176.967,1618.409,2025.366,0.09068,0.024209
reverting_1.8_to_2.3,baseline,42,0.03,1368.491,-2.894,961.406,1175.729,1617.768,2022.746,0.089631,0.02415
reverting_1.8_to_2.3,baseline,42,0.05,1367.674,-3.711,960.488,1174.917,1615.408,2017.502,0.087523,0.024024
reverting_1.8_to_2.3,repression,42,0.0,1016.073,0.0,715.092,869.962,1198.593,1493.152,0.089964,0.014165
reverting_1.8_to_2.3,repression,42,0.01,1016.61,0.537,716.672,871.577,1198.81,1494.918,0.088928,0.014231
reverting_1.8_to_2.3,repression,42,0.02,1017.198,1.126,718.254,872.648,1199.168,1496.685,0.087916,0.014303
reverting_1.8_to_2.3,repression,42,0.03,1017.919,1.846,719.224,874.015,1199.886,1498.451,0.08684,0.014366
reverting_1.8_to_2.3,repression,42,0.05,1020.251,4.178,721.0,875.781,1203.027,1501.473,0.084773,0.014429
reverting_1.8_to_2.3,baseline,137,0.0,1376.718,0.0,937.575,1178.401,1629.48,2013.151,0.092209,0.024258
reverting_1.8_to_2.3,baseline,137,0.01,1375.912,-0.805,937.416,1177.365,1629.379,2011.062,0.091213,0.02423
reverting_1.8_to_2.3,baseline,137,0.02,1374.977,-1.74,937.536,1177.156,1630.999,2008.211,0.090202,0.024213
reverting_1.8_to_2.3,baseline,137,0.03,1374.785,-1.932,937.982,1176.794,1629.573,2004.499,0.089218,0.024173
reverting_1.8_to_2.3,baseline,137,0.05,1374.994,-1.724,937.863,1175.347,1627.501,2002.574,0.087094,0.024066
reverting_1.8_to_2.3,repression,137,0.0,1016.589,0.0,704.446,878.63,1189.248,1471.03,0.089916,0.013928
reverting_1.8_to_2.3,repression,137,0.01,1017.19,0.601,705.094,879.57,1190.537,1470.949,0.088857,0.013971
reverting_1.8_to_2.3,repression,137,0.02,1018.734,2.144,705.742,880.453,1191.732,1470.705,0.087871,0.014043
reverting_1.8_to_2.3,repression,137,0.03,1020.452,3.863,706.406,881.458,1193.248,1470.455,0.086849,0.014092
reverting_1.8_to_2.3,repression,137,0.05,1022.592,6.003,708.489,883.992,1195.062,1471.284,0.08484,0.014189
reverting_1.8_to_2.3,baseline,271,0.0,1393.256,0.0,948.992,1190.873,1611.001,2031.594,0.091663,0.024013
reverting_1.8_to_2.3,baseline,271,0.01,1392.407,-0.849,948.554,1190.079,1609.146,2028.605,0.090747,0.024012
reverting_1.8_to_2.3,baseline,271,0.02,1391.604,-1.652,949.957,1190.7,1607.762,2025.616,0.089708,0.023995
reverting_1.8_to_2.3,baseline,271,0.03,1390.994,-2.262,951.36,1191.909,1605.657,2022.629,0.088681,0.023944
reverting_1.8_to_2.3,baseline,271,0.05,1389.832,-3.424,954.177,1191.427,1603.205,2023.763,0.086567,0.023829
reverting_1.8_to_2.3,repression,271,0.0,1029.064,0.0,716.237,888.486,1191.868,1488.965,0.090046,0.013752
reverting_1.8_to_2.3,repression,271,0.01,1030.058,0.994,717.563,889.148,1191.169,1489.363,0.089027,0.013837
reverting_1.8_to_2.3,repression,271,0.02,1032.113,3.049,718.89,889.785,1192.12,1489.774,0.087966,0.013892
reverting_1.8_to_2.3,repression,271,0.03,1032.616,3.551,720.218,890.731,1193.275,1490.236,0.086907,0.013969
reverting_1.8_to_2.3,repression,271,0.05,1033.757,4.693,722.877,893.607,1194.978,1491.149,0.084837,0.01406
