# Pot distribution percentiles per step/world/seed (EUR000) | commit 9689128 | N=1000
step,world,seed,p5,p25,p50,p75,p95,sd
(i)   Current,baseline,42,851.701,1051.325,1240.131,1464.804,1846.055,307.825
(ii)  +Re-anchor,baseline,42,922.73,1143.235,1337.345,1582.294,1983.814,331.33
(iii) +China cap,baseline,42,923.115,1144.569,1345.819,1584.672,1989.621,333.126
(iv)  +Bond side,baseline,42,962.164,1179.431,1371.385,1620.575,2030.602,332.885
(i)   Current,repression,42,612.922,765.716,892.653,1054.389,1323.068,213.461
(ii)  +Re-anchor,repression,42,666.677,824.426,963.681,1135.558,1432.288,230.313
(iii) +China cap,repression,42,667.437,828.073,968.394,1136.407,1426.949,231.401
(iv)  +Bond side,repression,42,715.092,869.962,1016.073,1198.593,1493.152,239.202
(i)   Current,baseline,137,843.27,1067.52,1238.686,1470.063,1819.867,319.452
(ii)  +Re-anchor,baseline,137,907.945,1152.109,1339.282,1592.695,1983.001,343.298
(iii) +China cap,baseline,137,909.925,1153.459,1344.185,1591.6,1984.917,344.098
(iv)  +Bond side,baseline,137,937.575,1178.401,1376.718,1629.48,2013.151,341.993
(i)   Current,repression,137,622.979,772.393,887.764,1045.059,1306.783,216.621
(ii)  +Re-anchor,repression,137,668.385,830.202,957.739,1125.834,1414.077,232.708
(iii) +China cap,repression,137,663.481,833.381,961.292,1130.125,1415.217,233.347
(iv)  +Bond side,repression,137,704.446,878.63,1016.589,1189.248,1471.03,240.417
(i)   Current,baseline,271,851.842,1063.625,1257.188,1460.903,1861.783,313.887
(ii)  +Re-anchor,baseline,271,910.936,1150.371,1362.329,1579.029,2009.398,338.098
(iii) +China cap,baseline,271,914.919,1156.776,1361.798,1582.163,1995.822,337.881
(iv)  +Bond side,baseline,271,948.992,1190.873,1393.256,1611.001,2031.594,334.13
(i)   Current,repression,271,627.436,775.247,905.698,1045.001,1322.93,213.277
(ii)  +Re-anchor,repression,271,679.986,836.536,981.273,1128.535,1435.691,229.812
(iii) +China cap,repression,271,674.328,840.584,979.609,1131.128,1433.544,229.534
(iv)  +Bond side,repression,271,716.237,888.486,1029.064,1191.868,1488.965,235.38
(i)   Current,baseline,314,851.189,1069.484,1252.291,1451.707,1824.206,308.019
(ii)  +Re-anchor,baseline,314,930.46,1165.257,1355.58,1571.171,1988.923,333.726
(iii) +China cap,baseline,314,932.734,1158.567,1358.819,1575.956,1974.664,333.15
(iv)  +Bond side,baseline,314,962.197,1192.051,1393.12,1614.812,1992.695,332.797
(i)   Current,repression,314,628.467,774.896,897.722,1044.348,1290.029,206.462
(ii)  +Re-anchor,repression,314,679.275,842.435,969.852,1132.127,1375.478,223.829
(iii) +China cap,repression,314,677.503,841.931,968.54,1129.038,1390.866,223.402
(iv)  +Bond side,repression,314,720.807,889.932,1024.337,1187.653,1447.396,231.588
(i)   Current,baseline,577,867.675,1082.655,1270.905,1473.056,1912.186,318.313
(ii)  +Re-anchor,baseline,577,926.804,1165.323,1373.761,1592.657,2051.496,343.903
(iii) +China cap,baseline,577,926.024,1163.706,1370.118,1596.916,2037.348,344.544
(iv)  +Bond side,baseline,577,960.577,1194.303,1405.63,1634.168,2100.119,341.925
(i)   Current,repression,577,636.674,779.855,911.722,1060.282,1340.464,217.014
(ii)  +Re-anchor,repression,577,685.702,838.254,983.659,1143.438,1453.37,234.909
(iii) +China cap,repression,577,681.975,843.863,983.157,1148.234,1468.492,235.22
(iv)  +Bond side,repression,577,717.504,894.812,1035.262,1206.355,1531.854,242.097
